EVB_Promed,Date,Pays,Localisation,Total,Confirmed,Probable,Suspected,Death,DCD_Confirmed,DCD_Probable,DCD_suspected
72,2014-06-22,Guinea,,390,258,88,44,267,,,
72,2014-06-22,Sierra Leone,,136,103,19,14,58,,,
72,2014-06-22,Liberia,,41,24,9,8,25,,,
77,2014-06-30,Guinea,,413,293,88,32,303,193,82,28
77,2014-06-30,Liberia,,107,52,21,34,65,33,17,15
77,2014-06-30,Sierra Leone,,239,199,31,9,99,65,29,5
80,2014-07-03,Guinea,,412,292,100,20,305,194,94,17
80,2014-07-03,Sierra Leone,,252,211,35,6,101,67,29,5
80,2014-07-03,Liberia,,115,54,24,37,75,38,22,15
84,2014-07-06,Guinea,,408,294,96,18,307,195,96,16
84,2014-07-06,Liberia,,131,63,30,38,84,41,28,15
84,2014-07-06,Sierra Leone,,305,269,34,2,127,114,11,2
86,2014-07-08,Guinea,,409,296,96,16,309,197,96,16
86,2014-07-08,Liberia,,142,70,32,40,88,44,28,16
86,2014-07-08,Sierra Leone,,337,298,34,5,142,127,11,4
89,2014-07-12,Guinea,,406,297,92,17,304,198,92,14
89,2014-07-12,Liberia,,172,70,41,61,105,48,33,24
89,2014-07-12,Sierra Leone,,386,339,37,10,194,151,38,5
,2014-03-24,Guinea,,86,,,,59,,,
,2014-03-25,Guinea,,90,,,,60,,,
,2014-03-28,Guinea,,112,,,,70,,,
,2014-03-29,Liberia,,2,,,,2,,,
,2014-03-31,Guinea,,122,24,78,22,80,13,67,0
,2014-03-31,Liberia,,8,2,,,2,1,1,0
