date,pays,new.case,new.death
2014-06-01,GUINEE,37,21
2014-06-01,SIERRA−LEONE,13,0
2014-06-02,GUINEE,11,3
2014-06-05,SIERRA−LEONE,9,6
2014-06-05,GUINEE,7,6
2014-06-06,SIERRA−LEONE,8,1
2014-06-15,GUINEE,7,5
2014-06-15,SIERRA−LEONE,31,4
2014-06-15,LIBERIA,9,5
2014-06-18,GUINEE,3,3
2014-06-17,SIERRA−LEONE,39,8
2014-06-19,LIBERIA,7,1
2014-06-20,GUINEE,0,3
2014-06-20,SIERRA−LEONE,0,4
2014-06-22,LIBERIA,10,8
2014-06-30,GUINEE,3,5
2014-06-30,LIBERIA,8,7
2014-06-30,SIERRA−LEONE,22,14
2014-07-02,GUINEE,0,2
2014-07-02,LIBERIA,8,10
2014-07-02,SIERRA−LEONE,13,2
2014-07-06,GUINEE,0,2
2014-07-06,LIBERIA,16,9
2014-07-06,SIERRA−LEONE,24,14
2014-07-08,GUINEE,1,2
2014-07-08,LIBERIA,11,4
2014-07-08,SIERRA−LEONE,32,15
2014-07-12,GUINEE,6,3
2014-07-12,LIBERIA,30,13
2014-07-12,SIERRA−LEONE,49,52
2014-07-14,GUINEE,5,6
2014-07-14,LIBERIA,2,1
2014-07-14,SIERRA−LEONE,11,4
2014-07-17,GUINEE,0,0
2014-07-17,LIBERIA,22,10
2014-07-17,SIERRA−LEONE,45,9
2014-07-20,GUINEE,5,4
2014-07-20,LIBERIA,28,11
2014-07-20,SIERRA−LEONE,12,13
